,title_id,link,title,category,num_episode,last_date
135,=63660,https://comic.naver.com/bestChallenge/list.nhn?titleId=63660,HAVE A NICE DAY,episode,54,2020-03-09
136,738133,https://comic.naver.com/bestChallenge/list.nhn?titleId=738133,궁미일기,episode,14,2020-03-09
137,733799,https://comic.naver.com/bestChallenge/list.nhn?titleId=733799,돌레인더시티 : 여행이야기,episode,39,2020-03-09
138,739130,https://comic.naver.com/bestChallenge/list.nhn?titleId=739130,대학원 탈출일지,episode,15,2020-03-08
139,738932,https://comic.naver.com/bestChallenge/list.nhn?titleId=738932,SEOUL CHRONICLES / ALPHASEOUL,episode,10,2020-03-08
140,694488,https://comic.naver.com/bestChallenge/list.nhn?titleId=694488,말랑말랑 생활사,episode,39,2020-03-08
141,536153,https://comic.naver.com/bestChallenge/list.nhn?titleId=536153,외국 in 한국,episode,258,2020-03-08
142,650314,https://comic.naver.com/bestChallenge/list.nhn?titleId=650314,홍시관찰일기,episode,203,2020-03-08
143,727725,https://comic.naver.com/bestChallenge/list.nhn?titleId=727725,엑스트라 Z씨,episode,45,2020-03-08
144,736591,https://comic.naver.com/bestChallenge/list.nhn?titleId=736591,용사님이시다,action,19,2020-03-10
145,659485,https://comic.naver.com/bestChallenge/list.nhn?titleId=659485,저승파견고용직,action,239,2020-03-10
146,681149,https://comic.naver.com/bestChallenge/list.nhn?titleId=681149,블랙메일,action,30,2020-03-09
147,738932,https://comic.naver.com/bestChallenge/list.nhn?titleId=738932,SEOUL CHRONICLES / ALPHASEOUL,action,10,2020-03-08
148,695484,https://comic.naver.com/bestChallenge/list.nhn?titleId=695484,심연,action,56,2020-03-08
149,739996,https://comic.naver.com/bestChallenge/list.nhn?titleId=739996,꿰인 탄,action,8,2020-03-08
150,736413,https://comic.naver.com/bestChallenge/list.nhn?titleId=736413,금빛아이는 새벽을 달린다,action,21,2020-03-07
151,718332,https://comic.naver.com/bestChallenge/list.nhn?titleId=718332,원더키퍼,action,43,2020-03-06
152,735989,https://comic.naver.com/bestChallenge/list.nhn?titleId=735989,울트라 캐피탈,action,15,2020-03-06
153,325860,https://comic.naver.com/bestChallenge/list.nhn?titleId=325860,빈센트,action,49,2020-03-05
154,735708,https://comic.naver.com/bestChallenge/list.nhn?titleId=735708,죽탱이,action,15,2020-03-05
155,735404,https://comic.naver.com/bestChallenge/list.nhn?titleId=735404,지상최강고3히어로,action,11,2020-03-05
156,738928,https://comic.naver.com/bestChallenge/list.nhn?titleId=738928,이탈자,action,11,2020-03-04
157,734615,https://comic.naver.com/bestChallenge/list.nhn?titleId=734615,킬러5,action,26,2020-03-04
158,735963,https://comic.naver.com/bestChallenge/list.nhn?titleId=735963,크리비 (Crea.B),action,13,2020-03-03
159,734786,https://comic.naver.com/bestChallenge/list.nhn?titleId=734786,모던 던전 판타지아,action,13,2020-03-03
